id;tipo;recomendacao;pergunta;multiplo
1;Home redundant groupware;seize;client-driven capability;true
2;Concrete silver Iran;Face to face Nebraska;models AGP Plastic;true
3;Rubber Cambridgeshire Dong;Customizable digital Borders;best-of-breed neutral;true
4;Fresh deploy;Iowa;supply-chains Principal Specialist;true
5;withdrawal Fiji Dollar Quetzal;Facilitator Games;Coordinator Gloves Computer;true
6;mission-critical;Cotton Kids Marketing;Horizontal Ranch proactive;true
7;Borders IB firewall;Fish Customer;Gorgeous;true
8;Soft adapter;reinvent Granite;monitor;true
9;Handcrafted Rubber Shoes methodologies copy;Crossroad;Chicken Unbranded olive;false
10;grow;Incredible Steel Keyboard Games;function;false
